Subject,C1,C2,C3,C4,C5,C6
16,Sad,Chat,Family members,Yes,No,I don't know
16,Sad,Chat,Family members,Yes,Yes,Yes
16,Bad,Work,No one,Yes,I don't know,I don't know
16,Bad,Work,No one,Yes,No,I don't know
16,Tension,Work,No one,Yes,Yes,No
16,Bad,Work,No one,Yes,Yes,I don't know
16,Bad,Work,No one,Yes,Yes,No
16,Tension,Work,No one,Yes,Yes,No
16,Sad,Work,No one,Yes,Yes,I don't know
16,Bad,Work,No one,Yes,Yes,I don't know
16,Tired,Sport,No one,I don't know,I don't know,I don't know
16,Angry,Sport,No one,I don't know,I don't know,I don't know
16,Tired,Sport,No one,I don't know,I don't know,I don't know
17,Bad,Work,No one,Yes,Yes,Yes
17,Unhappy,Work,No one,Yes,Yes,No
17,Bad,Work,No one,Yes,Yes,No
17,Unhappy,Work,No one,Yes,Yes,No
17,Unhappy,Work,No one,Yes,Yes,I don't know
17,Unhappy,Work,No one,Yes,Yes,I don't know
17,Tension,Work,No one,Yes,Yes,I don't know
17,Anxious,Work,No one,Yes,Yes,I don't know
17,Bad,Work,No one,Yes,Yes,No
17,Angry,Work,No one,Yes,Yes,I don't know
17,Good,Rest,No one,No,I don't know,Yes
17,Good,Watching Videos,No one,No,No,Yes
17,Bad,Work,No one,Yes,Yes,Yes
17,Tired,Work,Family members,I don't know,I don't know,I don't know
17,Sad,Work,No one,I don't know,I don't know,I don't know
17,Tension,Work,No one,Yes,Yes,I don't know
17,Tension,Other,Family members,Yes,Yes,I don't know
17,Angry,Rest,No one,Yes,Yes,I don't know
17,Sad,Listen to music,No one,I don't know,Yes,Yes
17,Sad,Work,No one,Yes,Yes,I don't know
17,Unhappy,Work,No one,Yes,I don't know,I don't know
17,Sad,Work,No one,I don't know,I don't know,I don't know
17,Angry,Work,No one,Yes,Yes,No
17,Anxious,Work,No one,Yes,Yes,No
17,Tired,Free time,No one,I don't know,I don't know,No
17,Tension,Work,No one,Yes,Yes,No
17,Good,Chat,Friends,No,No,Yes
17,Tired,Free time,No one,I don't know,I don't know,I don't know
17,Tension,Work,No one,I don't know,Yes,Yes
17,Tired,Cleaning,Family members,Yes,Yes,Yes
17,Good,Rest,Family members,No,No,Yes
17,Tired,Work,No one,Yes,Yes,I don't know
18,Good,Eating and drinking,Family members,No,No,Yes
18,Tension,Work,No one,Yes,I don't know,I don't know
18,Bad,Free time,No one,Yes,No,I don't know
18,Sad,Work,No one,Yes,No,No
18,Comfortable,Work,No one,No,No,Yes
18,Comfortable,Work,No one,No,No,Yes
18,Neutral,Eating and drinking,Colleague,No,No,Yes
18,Comfortable,Work,Family members,No,No,Yes
18,Comfortable,Work,No one,No,No,I don't know
18,Comfortable,Rest,Colleague,No,Yes,No
18,Happy,Other,Friends,No,No,Yes
18,Happy,Cleaning,Friends,No,No,Yes
18,Neutral,Other,Friends,No,No,Yes
18,Excited,Hobby,Friends,No,No,Yes
18,Comfortable,Eating and drinking,Family members,No,No,Yes
18,Neutral,Cleaning,Family members,No,No,Yes
18,Energetic,Sport,No one,No,No,Yes
18,Tired,Eating and drinking,Family members,No,No,I don't know
18,Neutral,Watching Videos,Family members,No,No,I don't know
18,Comfortable,Rest,Family members,No,No,I don't know
