Ingredient,Measure,IngredientNumber,idDrink
Vodka,1 shot,1,178323
Tequila,6 cl,1,17217
Amaretto,1/3 ,1,13501
Tequila,1/2 oz ,1,13068
Lime,3,1,178358
Sugar,5 tblsp ,1,12744
Tequila,3 oz ,1,16289
Jägermeister,1 oz ,1,17020
Dark rum,1-2 shot ,1,13751
Sprite,1 cup,1,178362
Blended whiskey,2 oz ,1,11205
Tea,1/4 cup Thai ,1,12786
Banana liqueur,1 shot ,1,15615
Brandy,1 oz ,1,11016
Red wine,1 1/2 L ,1,13026
Vodka,1 1/2 oz ,1,14167
Gin,2 oz,1,178342
Gin,1 2/3 oz ,1,11728
Tequila,1 1/2 oz ,1,11007
Sugar,1 tsp superfine ,1,11157
Light rum,2 oz ,1,12087
Grapes,1 cup ,1,12712
Orange juice,4 cl ,1,15106
Cranberries,1/2 kg chopped ,1,12802
Baileys irish cream,1/3 oz ,1,14538
Vodka,1 oz ,1,16943
Light rum,1 oz ,1,11690
Triple sec,3/4 oz ,1,12474
Light rum,1 3/4 oz Bacardi ,1,17183
Kahlua,1 oz ,1,16951
Vodka,1/4 ,1,14730
Galliano,2 1/2 shots ,1,15997
Bourbon,2 oz ,1,11147
Jack Daniels,1 oz ,1,16311
Baileys irish cream,3/4 oz ,1,14356
Grape Soda,3 oz,1,17253
Vodka,4.5 cl,1,17213
Gin,1 1/2 oz ,1,11433
Vodka,30 ml ,1,17066
Peach Vodka,5 parts ,1,12758
Gin,1 oz ,1,11003
Lemonade,1 can ,1,14364
Kahlua,1/3 part ,1,14229
Gin,7 parts,1,17190
Apple brandy,1 1/2 oz ,1,11542
Blackberry brandy,1 oz ,1,13775
Mezcal,2 oz,1,17246
Galliano,1/2 oz ,1,12752
Blended whiskey,2 oz ,1,11129
Everclear,1 fifth ,1,17120
Irish whiskey,1 shot ,1,14782
151 proof rum,1 shot,1,178311
Tequila,2 measures ,1,13621
Sugar,8 cups ,1,12808
Orange juice,4 oz ,1,16995
Grenadine,1 cl ,1,12562
Dark Rum,2 shots,1,178336
Yoghurt,1 cup ,1,12692
Midori melon liqueur,1.5 oz ,1,15801
Vodka,1/2 oz ,1,11002
Gin,2 oz,1,178355
Dubonnet Rouge,1 1/2 oz ,1,11326
Dry Vermouth,1/2 oz ,1,17208
Scotch,1 1/2 oz ,1,17840
