Entity,Code,Year,Leading cancer types causing death in males
Austria,AUT,1973,Trachea and bronchus and lung
Austria,AUT,1974,Trachea and bronchus and lung
Austria,AUT,1975,Trachea and bronchus and lung
Austria,AUT,1976,Trachea and bronchus and lung
Austria,AUT,1977,Trachea and bronchus and lung
Austria,AUT,1978,Trachea and bronchus and lung
Austria,AUT,1979,Trachea and bronchus and lung
Austria,AUT,1980,Trachea and bronchus and lung
Austria,AUT,1981,Trachea and bronchus and lung
Austria,AUT,1982,Trachea and bronchus and lung
Austria,AUT,1983,Trachea and bronchus and lung
Austria,AUT,1984,Trachea and bronchus and lung
Austria,AUT,1985,Trachea and bronchus and lung
Austria,AUT,1986,Trachea and bronchus and lung
Austria,AUT,1987,Trachea and bronchus and lung
Austria,AUT,1988,Trachea and bronchus and lung
Austria,AUT,1989,Trachea and bronchus and lung
Austria,AUT,1990,Trachea and bronchus and lung
Austria,AUT,1991,Trachea and bronchus and lung
Austria,AUT,1992,Trachea and bronchus and lung
Austria,AUT,1993,Trachea and bronchus and lung
Austria,AUT,1994,Trachea and bronchus and lung
Austria,AUT,1995,Trachea and bronchus and lung
Austria,AUT,1996,Trachea and bronchus and lung
Austria,AUT,1997,Trachea and bronchus and lung
Austria,AUT,1998,Trachea and bronchus and lung
Austria,AUT,1999,Trachea and bronchus and lung
Austria,AUT,2000,Trachea and bronchus and lung
Austria,AUT,2001,Trachea and bronchus and lung
Austria,AUT,2002,Trachea and bronchus and lung
Austria,AUT,2003,Trachea and bronchus and lung
Austria,AUT,2004,Trachea and bronchus and lung
Austria,AUT,2005,Trachea and bronchus and lung
Austria,AUT,2006,Trachea and bronchus and lung
Austria,AUT,2007,Trachea and bronchus and lung
Austria,AUT,2008,Trachea and bronchus and lung
Austria,AUT,2009,Trachea and bronchus and lung
Austria,AUT,2010,Trachea and bronchus and lung
Austria,AUT,2011,Trachea and bronchus and lung
Austria,AUT,2012,Trachea and bronchus and lung
Austria,AUT,2013,Trachea and bronchus and lung
Austria,AUT,2014,Trachea and bronchus and lung
Austria,AUT,2015,Trachea and bronchus and lung
Austria,AUT,2016,Trachea and bronchus and lung
Austria,AUT,2017,Trachea and bronchus and lung
Austria,AUT,2018,Trachea and bronchus and lung
Austria,AUT,2019,Trachea and bronchus and lung
Austria,AUT,2020,Trachea and bronchus and lung
Austria,AUT,2021,Trachea and bronchus and lung
Azerbaijan,AZE,1981,Stomach
Azerbaijan,AZE,1982,Stomach
Azerbaijan,AZE,1985,Stomach
Azerbaijan,AZE,1986,Trachea and bronchus and lung
Azerbaijan,AZE,1987,Trachea and bronchus and lung
Azerbaijan,AZE,1988,Other malignant neoplasms
Azerbaijan,AZE,1989,Other malignant neoplasms
Azerbaijan,AZE,1990,Other malignant neoplasms
Azerbaijan,AZE,1991,Other malignant neoplasms
Azerbaijan,AZE,1992,Other malignant neoplasms
Azerbaijan,AZE,1993,Other malignant neoplasms
Azerbaijan,AZE,1994,Other malignant neoplasms
Azerbaijan,AZE,1995,Other malignant neoplasms
Azerbaijan,AZE,1996,Other malignant neoplasms
Azerbaijan,AZE,1997,Other malignant neoplasms
Azerbaijan,AZE,1998,Other malignant neoplasms
Azerbaijan,AZE,1999,Other malignant neoplasms
Azerbaijan,AZE,2000,Other malignant neoplasms
Azerbaijan,AZE,2001,Other malignant neoplasms
Azerbaijan,AZE,2002,Other malignant neoplasms
Azerbaijan,AZE,2003,Trachea and bronchus and lung
Azerbaijan,AZE,2004,Trachea and bronchus and lung
Azerbaijan,AZE,2007,Ill-defined malignant neoplasms
Bahamas,BHS,1972,Other malignant neoplasms
Bahamas,BHS,1975,Other malignant neoplasms
Bahamas,BHS,1979,Other malignant neoplasms
Bahamas,BHS,1980,Trachea and bronchus and lung
Bahamas,BHS,1981,Prostate
Bahamas,BHS,1983,Mouth and oropharynx
Bahamas,BHS,1984,Trachea and bronchus and lung
Bahamas,BHS,1985,Prostate
Bahamas,BHS,1987,Prostate
Bahamas,BHS,1993,Prostate
Bahamas,BHS,1994,Prostate
Bahamas,BHS,1995,Prostate
Bahamas,BHS,1996,Prostate
Bahamas,BHS,1997,Prostate
Bahamas,BHS,1998,Prostate
Bahamas,BHS,1999,Prostate
Bahamas,BHS,2000,Prostate
Bahamas,BHS,2001,Prostate
Bahamas,BHS,2002,Prostate
Bahamas,BHS,2003,Prostate
Bahamas,BHS,2004,Prostate
Bahamas,BHS,2005,Prostate
Bahamas,BHS,2006,Prostate
Bahamas,BHS,2007,Prostate
Bahamas,BHS,2008,Prostate
Bahamas,BHS,2009,Prostate
Bahamas,BHS,2010,Prostate
Bahamas,BHS,2011,Prostate
Bahamas,BHS,2012,Prostate
Bahamas,BHS,2013,Prostate
Bahamas,BHS,2014,Prostate
Bahamas,BHS,2015,Prostate
Bahrain,BHR,1985,Trachea and bronchus and lung
Bahrain,BHR,1987,Trachea and bronchus and lung
Bahrain,BHR,1988,Trachea and bronchus and lung
Bahrain,BHR,1997,Trachea and bronchus and lung
