Subject,eda,bvp,temp,x,y,z,emotion
1,0.33,2.75,27.89,36,33,35,0
1,0.34,8.89,27.89,36,32,41,0
1,0.33,5.04,27.89,39,34,39,0
1,0.33,0.92,27.89,36,32,41,0
1,0.33,4.5,27.87,32,32,45,0
1,0.34,12.6,27.87,30,32,45,0
1,0.33,-30.5,27.87,33,31,46,0
1,0.33,17.59,27.87,32,32,45,0
1,0.33,-33.39,27.87,36,32,43,0
1,0.33,10.42,27.87,34,32,43,0
1,0.34,-12.82,27.87,36,31,45,0
1,0.33,-0.21,27.87,33,31,45,0
1,0.33,37.85,27.87,34,32,44,0
1,0.34,-14.96,27.87,30,31,47,0
1,0.33,15.15,27.87,31,31,46,0
1,0.34,38.39,27.87,30,31,47,0
1,0.34,61.25,27.83,30,31,46,0
1,0.34,-3.87,27.83,30,30,47,0
1,0.34,-35.83,27.83,32,31,46,0
1,0.33,-47.58,27.83,30,31,46,0
1,0.34,-20.21,27.87,31,31,47,0
1,0.34,12.19,27.87,32,29,45,0
1,0.34,8.57,27.87,31,31,46,0
1,0.34,9.18,27.87,31,31,46,0
1,0,-0.03,31.03,72,11,28,1
1,0.09,5.06,31.03,66,-51,54,1
1,0.14,17.91,31.03,30,-18,44,1
1,0.14,79.34,31.03,-24,-77,12,1
1,0.15,228.25,31.03,9,-22,54,1
1,0.19,-486.42,31.03,2,-7,64,1
1,0.19,-6.01,31.03,6,7,72,1
1,0.19,154.76,31.03,39,2,69,1
1,0.18,32.66,31.13,79,24,36,1
1,0.17,-16.04,31.13,45,8,48,1
1,0.17,-29.38,31.13,23,8,55,1
1,0.16,-9.28,31.13,32,9,59,1
1,0.16,-5.46,31.11,26,8,60,1
1,0.16,2.31,31.11,25,9,59,1
1,0.15,8.32,31.11,31,12,55,1
1,0.15,18.72,31.11,21,7,60,1
1,0.14,15.08,31.05,19,8,61,1
1,0.15,-63.81,31.05,19,8,62,1
1,0.15,-60.33,31.05,19,9,59,1
1,0.14,-1.21,31.05,24,12,55,1
1,0.14,-74.34,31.11,27,14,52,1
1,0.14,209.16,31.11,29,12,57,1
1,0.14,11.51,31.11,50,7,57,1
1,0.14,-41.12,31.11,73,11,62,1
1,0.14,30.9,31.17,27,12,62,1
1,0.15,65.97,31.17,9,11,64,1
1,0.14,-105.74,31.17,13,6,59,1
1,0.14,40.38,31.17,4,8,66,1
1,0.14,-155.78,31.23,5,10,63,1
1,0.14,108.79,31.23,7,10,62,1
1,0.14,185.57,31.23,6,11,62,1
1,0.13,74.97,31.23,13,11,62,1
1,0.13,-38.17,31.05,8,10,65,1
1,0.13,-257.05,31.05,6,9,63,1
1,0.13,168.09,31.05,5,9,64,1
1,0.13,5.9,31.05,6,9,63,1
1,0.13,-102.95,30.95,6,8,64,1
1,0.13,-34.4,30.95,7,6,66,1
1,0.13,20.12,30.95,7,7,64,1
1,0.12,267.68,30.95,6,7,64,1
1,0.13,-40.2,31.25,6,7,64,1
1,0.13,-10.99,31.25,5,5,63,1
1,0.13,-89.37,31.25,5,6,64,1
1,0.13,-123.25,31.25,6,5,64,1
1,0.13,47.51,31.37,5,6,64,1
1,0.13,20.87,31.37,7,7,63,1
1,0.13,101.39,31.37,8,7,63,1
1,0.13,24.31,31.37,7,6,63,1
1,0.13,23.38,31.43,10,7,64,1
1,0.13,-28.01,31.43,6,7,64,1
1,0.13,161.04,31.43,5,6,64,1
1,0.13,22.71,31.43,5,7,63,1
1,0.13,-355.41,31.49,4,6,64,1
1,0.12,-180.21,31.49,2,7,64,1
1,0.12,212.71,31.49,1,8,63,1
1,0.12,117.33,31.49,0,8,64,1
1,0,-0.03,27.11,22,43,41,0
1,0.2,5.06,27.11,23,43,40,0
1,0.3,17.91,27.11,22,43,40,0
1,0.3,79.34,27.11,22,43,41,0
1,0.3,228.25,27.11,23,44,41,0
1,0.3,-486.5,27.11,22,43,41,0
1,0.3,-5.9,27.11,22,43,41,0
1,0.3,156.15,27.11,22,43,42,0
1,0.3,46.78,27.11,21,43,40,0
1,0.3,4.05,27.11,22,43,42,0
1,0.3,0.18,27.11,20,42,42,0
1,0.3,0.9,27.11,22,43,41,0
1,0.3,4,27.09,22,43,41,0
1,0.3,15.41,27.09,22,43,41,0
1,0.3,10.25,27.09,22,43,41,0
1,0.3,-14.03,27.09,21,43,41,0
1,0.3,13.49,27.09,22,43,41,0
1,0.3,50.54,27.09,22,43,42,0
1,0.3,-13.1,27.09,22,43,41,0
1,0.3,-100.26,27.09,22,43,41,0
1,0.3,19.23,27.09,21,43,41,0
1,0.3,8.59,27.09,22,43,42,0
1,0.3,26.01,27.09,21,43,42,0
1,0.3,16.23,27.09,22,43,42,0
1,0.3,-14.43,27.07,22,43,41,0
1,0.3,11.58,27.07,24,44,39,0
1,0.3,4.49,27.07,23,45,39,0
1,0.3,-13.62,27.07,24,44,41,0
1,0.3,9.02,27.07,21,43,40,0
1,0.3,5.57,27.07,22,43,40,0
1,0.3,-12.34,27.07,22,43,40,0
1,0.3,16.31,27.07,20,43,40,0
1,0.3,9.4,27.05,23,43,40,0
1,0.3,-30.58,27.05,24,43,40,0
1,0.3,9.02,27.05,23,44,40,0
1,0.3,18.39,27.05,23,43,41,0
1,0.3,-21.19,27.05,22,43,39,0
1,0.3,-7.99,27.05,22,43,40,0
1,0.3,3.07,27.05,23,44,39,0
1,0.31,13,27.05,24,44,40,0
1,0.3,15.48,27.03,22,43,40,0
1,0.3,0.56,27.03,21,43,41,0
1,0.3,-16.66,27.03,22,44,39,0
1,0.3,3.63,27.03,22,43,41,0
1,0.3,-8.21,27.03,22,43,40,0
