subjet,eda,bvp,temp,x,y,z,emotion
1,0.13,168.09,31.05,5,9,64,0
1,0.13,5.9,31.05,6,9,63,0
1,0.13,-102.95,30.95,6,8,64,0
1,0.13,-34.4,30.95,7,6,66,0
1,0.13,20.12,30.95,7,7,64,0
1,0.12,267.68,30.95,6,7,64,0
1,0.13,-40.2,31.25,6,7,64,0
1,0.13,-10.99,31.25,5,5,63,0
1,0.13,-89.37,31.25,5,6,64,0
1,0.13,-123.25,31.25,6,5,64,0
1,0.13,47.51,31.37,5,6,64,0
1,0.13,20.87,31.37,7,7,63,0
1,0.13,101.39,31.37,8,7,63,0
1,0.13,24.31,31.37,7,6,63,0
1,0.13,23.38,31.43,10,7,64,0
1,0.13,-28.01,31.43,6,7,64,0
1,0.13,161.04,31.43,5,6,64,0
1,0.13,22.71,31.43,5,7,63,0
1,0.13,-355.41,31.49,4,6,64,0
1,0.12,-180.21,31.49,2,7,64,0
1,0.12,212.71,31.49,1,8,63,0
1,0.12,117.33,31.49,0,8,64,0
1,0.12,107.04,31.51,0,6,64,0
1,0.12,-93.6,31.51,3,10,64,0
1,0.12,42.76,31.51,2,10,63,0
1,0.12,133.37,31.51,4,9,64,0
1,0.12,101.63,31.57,8,11,64,0
1,0.12,35.55,31.57,2,11,60,0
1,0.12,-160.06,31.57,6,11,63,0
1,0.12,-161.57,31.57,4,11,63,0
1,0.12,24.81,31.59,5,11,63,0
1,0.12,68.26,31.59,7,11,63,0
1,0.12,-115.76,31.59,6,11,62,0
1,0.12,-20.74,31.59,9,12,60,0
1,0.12,49.05,31.55,11,10,66,0
1,0.12,38.91,31.55,9,11,62,0
1,0.13,13.7,31.55,9,11,62,0
1,0.12,17.15,31.55,8,11,62,0
1,0.12,-41.92,31.53,7,11,62,0
1,0.12,10.74,31.53,8,11,63,0
1,0.12,4.74,31.53,10,10,62,0
1,0.12,-2.91,31.53,9,11,62,0
1,0.12,27.82,31.51,9,11,63,0
1,0.12,-6.97,31.51,8,12,63,0
1,0.12,-3.11,31.51,9,11,63,0
1,0.12,-66.68,31.51,9,12,63,0
1,0.12,23.12,31.49,10,13,62,0
1,0.12,-52.58,31.49,10,12,62,0
1,0.12,-22.71,31.49,17,14,64,0
1,0.12,-78.39,31.49,4,14,57,0
1,0.12,12.01,31.49,53,20,23,0
1,0.12,65.72,31.49,49,24,-30,0
1,0.12,-28.04,31.49,40,18,-41,0
1,0.12,-89.54,31.49,36,16,-59,0
1,0.12,167.35,31.47,28,14,-53,0
1,0.11,294.2,31.47,25,14,-55,0
1,0.1,-162.05,31.47,27,13,-55,0
1,0.1,-61.81,31.47,28,13,-58,0
1,0.1,90.75,31.57,30,13,-66,0
1,0.1,-84.86,31.57,12,17,-58,0
1,0.1,15.81,31.57,13,18,-64,0
1,0.1,36.63,31.57,5,19,-57,0
1,0.09,-19.34,31.59,5,18,-56,0
1,0.08,34.53,31.59,10,18,-61,0
1,0.08,-89.19,31.59,13,18,-58,0
1,0.09,193.33,31.59,15,19,-60,0
1,0.11,-109.43,31.63,13,16,-57,0
1,0.11,-101.5,31.63,13,20,-64,0
1,0.12,27.15,31.63,11,17,-57,0
1,0.13,70.94,31.63,10,18,-59,0
1,0.13,112.54,31.65,9,18,-59,0
1,0.13,-81.88,31.65,5,17,-61,0
1,0.14,-186.91,31.65,5,17,-63,0
1,0.14,-46.08,31.65,7,17,-60,0
1,0.14,12.48,31.69,6,17,-62,0
1,0.15,209.45,31.69,7,16,-61,0
1,0.15,88.73,31.69,8,18,-56,0
1,0.16,-13.48,31.69,9,18,-60,0
1,0.15,-20.82,31.71,8,18,-56,0
1,0.16,-18.95,31.71,11,17,-58,0
1,0.17,15.58,31.71,9,21,-63,0
1,0.17,208.27,31.71,10,20,-61,0
1,0.16,-239.54,31.71,10,21,-60,0
1,0.15,39.32,31.71,14,21,-63,0
1,0,-0.03,26.97,33,23,50,0
1,0.21,5.06,26.97,33,24,50,0
1,0.29,17.91,26.97,32,25,50,0
1,0.28,79.34,26.97,32,25,49,0
1,0.29,228.25,26.97,32,25,50,0
1,0.28,-486.5,26.97,30,25,50,0
1,0.28,-5.9,26.97,30,24,49,0
1,0.28,156.15,26.97,34,29,45,0
1,0.29,46.78,26.97,40,24,48,0
1,0.29,4.05,26.97,30,26,45,0
1,0.28,0.13,26.97,35,25,48,0
1,0.29,0.72,26.97,32,26,50,0
1,0.29,3.13,26.99,30,29,51,0
1,0.29,12.74,26.99,30,28,49,0
1,0.29,17.69,26.99,25,29,50,0
1,0.29,-13.54,26.99,25,27,50,0
1,0.29,11.85,26.99,29,27,48,0
1,0.29,60.13,26.99,41,30,40,0
1,0.29,98.94,26.99,42,37,27,0
1,0.28,-205.73,26.99,50,38,17,0
1,0.28,-94.84,26.97,46,38,15,0
1,0.28,-70.41,26.97,51,34,21,0
1,0.28,44.61,26.97,48,34,23,0
1,0.27,138.7,26.97,54,33,32,0
1,0.28,118.16,27.01,45,32,31,0
1,0.27,-1.8,27.01,48,34,29,0
1,0.27,-14.09,27.01,50,33,34,0
1,0.27,-5.64,27.01,51,34,27,0
1,0.27,-17.04,26.97,46,34,22,0
1,0.27,-33.42,26.97,50,34,23,0
1,0.27,-11.09,26.97,51,34,23,0
1,0.27,0.34,26.97,51,34,23,0
1,0.27,15.1,26.99,53,34,24,0
1,0.27,6.07,26.99,50,34,23,0
1,0.27,6.32,26.99,54,33,23,0
1,0.27,7.46,26.99,50,34,19,0
