LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;3.95;1.6;0.15;1980;;1;4.4;Lääne-Viru;FYYSILINE
ALLA12MLAEV;KALAPAAT;VIIKING;510;C;PLASTIK;5.1;1.94;0.3;2006;;1;70.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.5;1.6;0.15;1975;;1;7.0;Võru;FYYSILINE
VÄIKELAEV;PURJEJAHT;CONRAD;25RT;B;PLASTIK;7.65;2.73;1.6;1985;;1;6.0;Saare;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.36;1.46;0.0;1992;;1;1.5;Viljandi;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;ASKELADDEN;14;D;PLASTIK;4.3;1.72;0.3;;2022-08-23;1;12.0;Harju;FYYSILINE
JETT;;SEA DOO;XP;;MUU;2.72;1.12;0.0;2001;;0;98.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;C;PLASTIK;4.36;1.46;0.0;1992;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;ORION;8;D;KUMM;3.0;1.45;0.15;2007;;1;6.0;Lääne-Viru;FYYSILINE
JETT;;KAWASAKI;800 SX-R;;MUU;2.3;0.73;0.0;2009;;0;60.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PLASTIK;4.72;1.4;0.1;1993;;1;1.5;Tartu;FYYSILINE
VÄIKELAEV;PURJEJAHT;MARIEHOLM SEACAT;16;C;PLASTIK;6.35;1.95;1.1;;2021-05-20;1;6.0;Pärnu;FYYSILINE
VÄIKELAEV;PURJEJAHT;FOKA;-;C;PLASTIK;5.45;2.05;0.3;1993;2019-03-29;1;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MAXUM;1800;C;PLASTIK;5.38;2.18;0.4;1990;2016-09-20;1;96.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;AJALOOLINE;-;C;PUIT;6.3;2.0;0.5;2009;;0;7.0;Tartu;FYYSILINE
VÄIKELAEV;PURJEJAHT;DUFOUR;525 GRAND LARGE;A;PLASTIK;14.99;4.9;2.0;2011;;1;81.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;BUSH;CRAB K-330;C;KANGAS;3.3;1.48;0.2;2016;2016-09-22;1;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER;CAPRI;C;PLASTIK;5.75;2.24;0.35;1989;;1;92.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;D;ALUMIINIUM;4.65;1.7;0.0;1969;;0;5.0;;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PAKRI;450;C;PLASTIK;4.5;1.55;0.3;2004;2015-05-22;1;11.2;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.55;1.11;0.0;2001;;0;0.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;INTEX;MARINER 3;D;KANGAS;2.9;1.2;;2020;2021-09-20;1;1.5;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;4.0;1.04;0.15;2000;;0;0.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2009;;1;4.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.3;1.55;0.0;2005;;0;3.0;Saare;FYYSILINE
JETT;;SEA-DOO;SPARK 900 HO TRIXX;C;;2.76;1.17;;;2020-06-10;1;66.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;NORDLINE;42;D;PLASTIK;4.2;1.55;0.2;2015;2015-11-09;1;7.5;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;CRAB K-360;C;KANGAS;3.6;1.72;;2011;;1;18.4;Ida-Viru;FYYSILINE
ALLA12MLAEV;KALAPAAT;KASSE;-;D;PLASTIK;4.27;1.65;0.28;1993;;1;6.0;Saare;FYYSILINE
