Match ID,City,Date,Match Type,Match Type Number,Season,Team Type,Team 1,Team 2,Toss Winner,Toss Decision,Venue,Winner,win_margin_type,Win Margin,Player of the Match,Event Name,Event Match Number,Event Stage,Gender,Umpire 1,Umpire 2,TV Umpire,Match Referee
335348,Lahore,2008-06-25,ODI,2715,2008,international,Bangladesh,Sri Lanka,Bangladesh,field,Gaddafi Stadium,Sri Lanka,runs,131.0,KC Sangakkara,Asia Cup,3.0,,male,IJ Gould,SJA Taufel,Zameer Haider,MJ Procter
335349,Karachi,2008-06-25,ODI,2716,2008,international,Hong Kong,India,India,bat,National Stadium,India,runs,256.0,SK Raina,Asia Cup,4.0,,male,AL Hill,BG Jerling,MG Silva,AG Hurst
335350,Lahore,2008-06-26,ODI,2718,2008,international,Sri Lanka,United Arab Emirates,Sri Lanka,bat,Gaddafi Stadium,Sri Lanka,runs,142.0,BAW Mendis,Asia Cup,6.0,,male,IJ Gould,SJA Taufel,AM Saheba,MJ Procter
335351,Karachi,2008-06-26,ODI,2717,2008,international,Pakistan,India,Pakistan,bat,National Stadium,India,wickets,6.0,SK Raina,Asia Cup,5.0,,male,AL Hill,BG Jerling,AFM Akhtaruddin,AG Hurst
335352,Karachi,2008-06-28,ODI,2721,2008,international,Bangladesh,India,Bangladesh,bat,National Stadium,India,wickets,7.0,SK Raina,Asia Cup,7.0,Super Four,male,BG Jerling,SJA Taufel,MG Silva,AG Hurst
335353,Karachi,2008-06-29,ODI,2723,2008,international,Pakistan,Sri Lanka,Pakistan,field,National Stadium,Sri Lanka,runs,64.0,KC Sangakkara,Asia Cup,8.0,Super Four,male,IJ Gould,AL Hill,AFM Akhtaruddin,AG Hurst
335354,Karachi,2008-06-30,ODI,2726,2008,international,Bangladesh,Sri Lanka,Sri Lanka,bat,National Stadium,Sri Lanka,runs,158.0,ST Jayasuriya,Asia Cup,9.0,Super Four,male,BG Jerling,SJA Taufel,AM Saheba,AG Hurst
335355,Karachi,2008-07-02,ODI,2730,2008,international,Pakistan,India,India,bat,National Stadium,Pakistan,wickets,8.0,Younis Khan,Asia Cup,10.0,Super Four,male,IJ Gould,AL Hill,AFM Akhtaruddin,AG Hurst
335356,Karachi,2008-07-03,ODI,2732,2008,international,India,Sri Lanka,Sri Lanka,bat,National Stadium,India,wickets,6.0,MS Dhoni,Asia Cup,11.0,Super Four,male,BG Jerling,SJA Taufel,Zameer Haider,AG Hurst
335357,Karachi,2008-07-04,ODI,2733,2008,international,Pakistan,Bangladesh,Bangladesh,bat,National Stadium,Pakistan,wickets,10.0,Abdur Rauf,Asia Cup,12.0,Super Four,male,IJ Gould,AL Hill,MG Silva,AG Hurst
335358,Karachi,2008-07-06,ODI,2735,2008,international,India,Sri Lanka,India,field,National Stadium,Sri Lanka,runs,100.0,BAW Mendis,Asia Cup,,Final,male,AL Hill,SJA Taufel,Zameer Haider,AG Hurst
336201,Darwin,2008-08-30,ODI,2758,2008,international,Australia,Bangladesh,Bangladesh,field,Marrara Cricket Ground,Australia,runs,180.0,MEK Hussey,Bangladesh in Australia ODI Series,1.0,,male,PD Parker,AM Saheba,BNJ Oxenford,J Srinath
336202,Darwin,2008-09-03,ODI,2760,2008,international,Australia,Bangladesh,Bangladesh,bat,Marrara Cricket Ground,Australia,wickets,8.0,SE Marsh,Bangladesh in Australia ODI Series,2.0,,male,BNJ Oxenford,AM Saheba,RJ Tucker,J Srinath
336204,Darwin,2008-09-06,ODI,2762,2008,international,Australia,Bangladesh,Australia,bat,Marrara Cricket Ground,Australia,runs,73.0,Tamim Iqbal,Bangladesh in Australia ODI Series,3.0,,male,PD Parker,AM Saheba,RJ Tucker,J Srinath
343732,,2008-08-18,ODI,2742,2008,international,Sri Lanka,India,India,bat,Rangiri Dambulla International Stadium,Sri Lanka,wickets,8.0,BAW Mendis,India in Sri Lanka ODI Series,1.0,,male,EAR de Silva,BR Doctrove,MG Silva,BC Broad
343733,,2008-08-20,ODI,2745,2008,international,Sri Lanka,India,India,field,Rangiri Dambulla International Stadium,India,wickets,3.0,Z Khan,India in Sri Lanka ODI Series,2.0,,male,BR Doctrove,MG Silva,TH Wijewardene,BC Broad
343734,Colombo,2008-08-24,ODI,2750,2008,international,Sri Lanka,India,India,bat,R Premadasa Stadium,India,runs,33.0,MS Dhoni,India in Sri Lanka ODI Series,3.0,,male,BR Doctrove,TH Wijewardene,MG Silva,BC Broad
343736,Colombo,2008-08-29,ODI,2756,2008,international,Sri Lanka,India,Sri Lanka,bat,R Premadasa Stadium,Sri Lanka,runs,112.0,KMDN Kulasekara,India in Sri Lanka ODI Series,5.0,,male,BR Doctrove,TH Wijewardene,MG Silva,BC Broad
343759,Lahore,2008-04-08,ODI,2696,2007/08,international,Pakistan,Bangladesh,Pakistan,bat,Gaddafi Stadium,Pakistan,runs,152.0,Mohammad Yousuf,Bangladesh in Pakistan ODI Series,1.0,,male,Aleem Dar,SA Bucknor,Zameer Haider,MJ Procter
343760,Faisalabad,2008-04-11,ODI,2698,2007/08,international,Pakistan,Bangladesh,Bangladesh,bat,Iqbal Stadium,Pakistan,wickets,7.0,Salman Butt,Bangladesh in Pakistan ODI Series,2.0,,male,Aleem Dar,SA Bucknor,Nadeem Ghauri,MJ Procter
343761,Lahore,2008-04-13,ODI,2700,2007/08,international,Pakistan,Bangladesh,Pakistan,bat,Gaddafi Stadium,Pakistan,runs,23.0,Salman Butt,Bangladesh in Pakistan ODI Series,3.0,,male,SA Bucknor,Nadeem Ghauri,Zameer Haider,MJ Procter
343762,,2008-04-16,ODI,2702,2007/08,international,Pakistan,Bangladesh,Bangladesh,bat,Multan Cricket Stadium,Pakistan,wickets,7.0,Shakib Al Hasan,Bangladesh in Pakistan ODI Series,4.0,,male,SA Bucknor,Zameer Haider,Nadeem Ghauri,MJ Procter
343763,Karachi,2008-04-19,ODI,2703,2007/08,international,Pakistan,Bangladesh,Pakistan,bat,National Stadium,Pakistan,runs,150.0,Mohammad Asif,Bangladesh in Pakistan ODI Series,5.0,,male,SA Bucknor,Nadeem Ghauri,Zameer Haider,MJ Procter
345468,Mirpur,2008-06-08,ODI,2704,2008,international,Bangladesh,Pakistan,Bangladesh,field,Shere Bangla National Stadium,Pakistan,runs,70.0,Salman Butt,Kitply Cup,1.0,,male,EAR de Silva,Enamul Haque,AFM Akhtaruddin,JJ Crowe
345469,Mirpur,2008-06-10,ODI,2705,2008,international,India,Pakistan,India,bat,Shere Bangla National Stadium,India,runs,140.0,V Sehwag,Kitply Cup,2.0,,male,EAR de Silva,Enamul Haque,AFM Akhtaruddin,JJ Crowe
345470,Mirpur,2008-06-12,ODI,2706,2008,international,Bangladesh,India,Bangladesh,bat,Shere Bangla National Stadium,India,wickets,7.0,G Gambhir,Kitply Cup,3.0,,male,EAR de Silva,Nadir Shah,AFM Akhtaruddin,JJ Crowe
345471,Mirpur,2008-06-14,ODI,2707,2008,international,India,Pakistan,Pakistan,bat,Shere Bangla National Stadium,Pakistan,runs,25.0,Younis Khan,Kitply Cup,,Final,male,EAR de Silva,Nadir Shah,AFM Akhtaruddin,JJ Crowe
350043,London,2009-09-04,ODI,2882,2009,international,England,Australia,England,field,Kennington Oval,Australia,runs,4.0,CJ Ferguson,NatWest Series,1.0,,male,AL Hill,NJ Llong,PJ Hartley,RS Mahanama
350044,London,2009-09-06,ODI,2883,2009,international,England,Australia,England,field,Lord's,Australia,runs,39.0,MG Johnson,NatWest Series,2.0,,male,IJ Gould,AL Hill,NJ Llong,RS Mahanama
350045,Southampton,2009-09-09,ODI,2885,2009,international,England,Australia,England,bat,The Rose Bowl,Australia,wickets,6.0,CL White,NatWest Series,3.0,,male,PJ Hartley,AL Hill,RA Kettleborough,RS Mahanama
350046,London,2009-09-12,ODI,2888,2009,international,England,Australia,England,bat,Lord's,Australia,wickets,7.0,B Lee,NatWest Series,4.0,,male,Asad Rauf,NJ Llong,IJ Gould,RS Mahanama
350047,Nottingham,2009-09-15,ODI,2890,2009,international,England,Australia,England,bat,Trent Bridge,Australia,wickets,4.0,RT Ponting,NatWest Series,5.0,,male,Asad Rauf,RA Kettleborough,NJ Llong,RS Mahanama
350048,Nottingham,2009-09-17,ODI,2891,2009,international,England,Australia,Australia,bat,Trent Bridge,Australia,runs,111.0,TD Paine,NatWest Series,6.0,,male,Asad Rauf,NJ Llong,RA Kettleborough,RS Mahanama
350049,Chester-le-Street,2009-09-20,ODI,2892,2009,international,England,Australia,England,field,Riverside Ground,England,wickets,4.0,GP Swann,NatWest Series,7.0,,male,Asad Rauf,NJ Llong,PJ Hartley,RS Mahanama
350348,Potchefstroom,2008-11-07,ODI,2771,2008/09,international,South Africa,Bangladesh,South Africa,bat,Senwes Park,South Africa,runs,61.0,DW Steyn,Bangladesh in South Africa ODI Series,1.0,,male,M Erasmus,NJ Llong,IL Howell,RS Mahanama
350477,Durban,2009-04-03,ODI,2832,2008/09,international,South Africa,Australia,Australia,bat,Kingsmead,Australia,runs,141.0,MEK Hussey,Australia in South Africa ODI Series,1.0,,male,EAR de Silva,RE Koertzen,BG Jerling,RS Madugalle
350478,Centurion,2009-04-05,ODI,2834,2008/09,international,South Africa,Australia,Australia,bat,SuperSport Park,South Africa,wickets,7.0,WD Parnell,Australia in South Africa ODI Series,2.0,,male,EAR de Silva,BG Jerling,RE Koertzen,RS Madugalle
350479,Cape Town,2009-04-09,ODI,2839,2008/09,international,South Africa,Australia,South Africa,bat,Newlands,South Africa,runs,25.0,JH Kallis,Australia in South Africa ODI Series,3.0,,male,EAR de Silva,RE Koertzen,BG Jerling,RS Madugalle
350480,Port Elizabeth,2009-04-13,ODI,2840,2008/09,international,South Africa,Australia,Australia,field,St George's Park,South Africa,runs,61.0,HH Gibbs,Australia in South Africa ODI Series,4.0,,male,EAR de Silva,BG Jerling,RE Koertzen,RS Madugalle
350481,Johannesburg,2009-04-17,ODI,2841,2008/09,international,South Africa,Australia,South Africa,field,New Wanderers Stadium,Australia,runs,47.0,NM Hauritz,Australia in South Africa ODI Series,5.0,,male,EAR de Silva,RE Koertzen,BG Jerling,RS Madugalle
351684,,2009-01-16,ODI,2795,2008/09,international,Australia,South Africa,Australia,bat,Melbourne Cricket Ground,South Africa,wickets,3.0,JA Morkel,South Africa in Australia ODI Series,1.0,,male,IJ Gould,BNJ Oxenford,RJ Tucker,RS Madugalle
351685,Hobart,2009-01-18,ODI,2796,2008/09,international,Australia,South Africa,South Africa,field,Bellerive Oval,Australia,runs,5.0,SE Marsh,South Africa in Australia ODI Series,2.0,,male,IJ Gould,RJ Tucker,PR Reiffel,RS Madugalle
351686,,2009-01-23,ODI,2802,2008/09,international,Australia,South Africa,Australia,bat,Sydney Cricket Ground,South Africa,wickets,3.0,JA Morkel,South Africa in Australia ODI Series,3.0,,male,IJ Gould,RJ Tucker,BNJ Oxenford,RS Madugalle
351687,,2009-01-26,ODI,2804,2008/09,international,Australia,South Africa,Australia,bat,Adelaide Oval,South Africa,wickets,8.0,AB de Villiers,South Africa in Australia ODI Series,4.0,,male,IJ Gould,DJ Harper,BNJ Oxenford,RS Madugalle
351688,Perth,2009-01-30,ODI,2808,2008/09,international,Australia,South Africa,South Africa,bat,Western Australia Cricket Association Ground,South Africa,runs,39.0,HM Amla,South Africa in Australia ODI Series,5.0,,male,IJ Gould,BNJ Oxenford,PR Reiffel,RS Madugalle
351689,Perth,2009-02-01,ODI,2811,2008/09,international,Australia,New Zealand,Australia,bat,Western Australia Cricket Association Ground,New Zealand,wickets,2.0,KD Mills,Chappell-Hadlee Trophy,1.0,,male,SA Bucknor,BNJ Oxenford,PR Reiffel,RS Mahanama
351690,,2009-02-06,ODI,2816,2008/09,international,Australia,New Zealand,New Zealand,field,Melbourne Cricket Ground,New Zealand,wickets,6.0,MJ Clarke,Chappell-Hadlee Trophy,2.0,,male,SA Bucknor,PR Reiffel,RJ Tucker,RS Mahanama
351691,,2009-02-08,ODI,2817,2008/09,international,Australia,New Zealand,New Zealand,field,Sydney Cricket Ground,Australia,runs,32.0,BJ Haddin,Chappell-Hadlee Trophy,3.0,,male,SA Bucknor,SJA Taufel,RJ Tucker,RS Mahanama
351692,,2009-02-10,ODI,2819,2008/09,international,Australia,New Zealand,New Zealand,bat,Adelaide Oval,Australia,wickets,6.0,DJ Hussey,Chappell-Hadlee Trophy,4.0,,male,SA Bucknor,SJ Davis,PR Reiffel,RS Mahanama
351693,Brisbane,2009-02-13,ODI,2820,2008/09,international,Australia,New Zealand,New Zealand,field,"Brisbane Cricket Ground, Woolloongabba",no result,,,,Chappell-Hadlee Trophy,5.0,,male,SA Bucknor,RJ Tucker,BNJ Oxenford,RS Mahanama
352665,Guyana,2009-03-20,ODI,2826,2008/09,international,West Indies,England,England,bat,Providence Stadium,England,runs,1.0,PD Collingwood,England in West Indies ODI Series,1.0,,male,Aleem Dar,CR Duncan,CE Mack,J Srinath
352666,Guyana,2009-03-22,ODI,2827,2008/09,international,West Indies,England,West Indies,bat,Providence Stadium,West Indies,runs,21.0,S Chanderpaul,England in West Indies ODI Series,2.0,,male,Aleem Dar,CR Duncan,CE Mack,J Srinath
352667,Barbados,2009-03-27,ODI,2828,2008/09,international,West Indies,England,West Indies,field,"Kensington Oval, Bridgetown",West Indies,wickets,8.0,DJ Bravo,England in West Indies ODI Series,3.0,,male,SA Bucknor,SJ Davis,NA Malcolm,J Srinath
352668,Barbados,2009-03-29,ODI,2829,2008/09,international,West Indies,England,England,field,"Kensington Oval, Bridgetown",England,wickets,9.0,AJ Strauss,England in West Indies ODI Series,4.0,,male,SA Bucknor,SJ Davis,NA Malcolm,J Srinath
352669,St Lucia,2009-04-03,ODI,2833,2008/09,international,West Indies,England,West Indies,field,"Beausejour Stadium, Gros Islet",England,runs,26.0,A Flintoff,England in West Indies ODI Series,5.0,,male,SJ Davis,NA Malcolm,GE Greaves,J Srinath
